name,number
Alabama,0
Alaska,0
Arizona,5
Arkansas,0
California,64
Colorado,8
Connecticut,0
Delaware,0
District of Columbia,1
Florida,8
Georgia,7
Hawaii,1
Idaho,0
Illinois,6
Indiana,2
Iowa,0
Kansas,1
Kentucky,1
Louisiana,0
Maine,0
Maryland,3
Massachusetts,13
Michigan,0
Minnesota,1
Mississippi,0
Missouri,1
Montana,0
Nebraska,1
Nevada,2
New Hampshire,2
New Jersey,4
New Mexico,0
New York,89
North Carolina,2
North Dakota,0
Ohio,0
Oklahoma,1
Oregon,7
Pennsylvania,4
Rhode Island,3
South Carolina,2
South Dakota,0
Tennessee,1
Texas,8
Utah,1
Vermont,0
Virginia,1
Washington,102
West Virginia,0
Wisconsin,1
Wyoming,0
