name,number
Alabama,29
Alaska,3
Arizona,18
Arkansas,22
California,368
Colorado,160
Connecticut,41
Delaware,8
District of Columbia,22
Florida,160
Georgia,121
Hawaii,10
Idaho,5
Illinois,105
Indiana,30
Iowa,22
Kansas,11
Kentucky,22
Louisiana,136
Maine,17
Maryland,37
Massachusetts,197
Michigan,54
Minnesota,54
Mississippi,12
Missouri,7
Montana,7
Nebraska,18
Nevada,45
New Hampshire,17
New Jersey,178
New Mexico,21
New York,950
North Carolina,33
North Dakota,1
Ohio,50
Oklahoma,12
Oregon,19
Pennsylvania,76
Rhode Island,21
South Carolina,33
South Dakota,10
Tennessee,52
Texas,57
Utah,39
Vermont,12
Virginia,51
Washington,904
West Virginia,0
Wisconsin,47
Wyoming,10

Alabama,0
Alaska,0
Arizona,9
Arkansas,1
California,153
Colorado,34
Connecticut,3
Delaware,1
District of Columbia,10
Florida,26
Georgia,31
Hawaii,2
Idaho,0
Illinois,25
Indiana,12
Iowa,14
Kansas,1
Kentucky,8
Louisiana,13
Maine,0
Maryland,9
Massachusetts,95
Michigan,2
Minnesota,5
Mississippi,1
Missouri,1
Montana,1
Nebraska,5
Nevada,5
New Hampshire,5
New Jersey,23
New Mexico,4
New York,216
North Carolina,8
North Dakota,1
Ohio,4
Oklahoma,2
Oregon,19
Pennsylvania,16
Rhode Island,5
South Carolina,10
South Dakota,8
Tennessee,9
Texas,21
Utah,4
Vermont,1
Virginia,9
Washington,366
West Virginia,0
Wisconsin,6
Wyoming,1
