name,case
Alabama,0
Alaska,0
Arizona,3
Arkansas,0
California,56
Colorado,8
Connecticut,0
Delaware,0
District of Columbia,0
Florida,6
Georgia,3
Hawaii,1
Idaho,0
Illinois,6
Indiana,1
Iowa,0
Kansas,0
Kentucky,1
Louisiana,0
Maine,0
Maryland,3
Massachusetts,8
Michigan,0
Minnesota,1
Mississippi,0
Missouri,0
Montana,0
Nebraska,1
Nevada,2
New Hampshire,2
New Jersey,4
New Mexico,0
New York,44
North Carolina,2
North Dakota,0
Ohio,0
Oklahoma,1
Oregon,3
Pennsylvania,2
Rhode Island,3
South Carolina,0
South Dakota,0
Tennessee,1
Texas,8
Utah,1
Vermont,0
Virginia,0
Washington,80
West Virginia,0
Wisconsin,1
Wyoming,0
