name,case
Alabama,0
Alaska,0
Arizona,5
Arkansas,0
California,90
Colorado,8
Connecticut,1
Delaware,0
District of Columbia,2
Florida,12
Georgia,11
Hawaii,2
Idaho,0
Illinois,7
Indiana,4
Iowa,3
Kansas,1
Kentucky,4
Louisiana,0
Maine,0
Maryland,5
Massachusetts,28
Michigan,0
Minnesota,2
Mississippi,0
Missouri,1
Montana,0
Nebraska,3
Nevada,4
New Hampshire,4
New Jersey,6
New Mexico,0
New York,106
North Carolina,2
North Dakota,0
Ohio,0
Oklahoma,1
Oregon,14
Pennsylvania,6
Rhode Island,3
South Carolina,6
South Dakota,0
Tennessee,3
Texas,12
Utah,1
Vermont,1
Virginia,2
Washington,136
West Virginia,0
Wisconsin,1
Wyoming,0
