name,case
Alabama,0
Alaska,0
Arizona,2
Arkansas,0
California,33
Colorado,0
Connecticut,0
Delaware,0
District of Columbia,0
Florida,3
Georgia,2
Hawaii,0
Idaho,0
Illinois,4
Indiana,0
Iowa,0
Kansas,0
Kentucky,0
Louisiana,0
Maine,0
Maryland,0
Massachusetts,2
Michigan,0
Minnesota,0
Mississippi,0
Missouri,0
Montana,0
Nebraska,0
Nevada,0
New Hampshire,2
New Jersey,0
New Mexico,0
New York,2
North Carolina,1
North Dakota,0
Ohio,0
Oklahoma,0
Oregon,3
Pennsylvania,0
Rhode Island,2
South Carolina,0
South Dakota,0
Tennessee,0
Texas,0
Utah,0
Vermont,0
Virginia,0
Washington,28
West Virginia,0
Wisconsin,1
Wyoming,0
