name,case
Alabama,0
Alaska,0
Arizona,5
Arkansas,0
California,109
Colorado,12
Connecticut,2
Delaware,0
District of Columbia,5
Florida,14
Georgia,17
Hawaii,2
Idaho,0
Illinois,11
Indiana,6
Iowa,8
Kansas,1
Kentucky,6
Louisiana,1
Maine,0
Maryland,5
Massachusetts,41
Michigan,0
Minnesota,2
Mississippi,0
Missouri,1
Montana,0
Nebraska,3
Nevada,4
New Hampshire,4
New Jersey,11
New Mexico,0
New York,142
North Carolina,7
North Dakota,0
Ohio,3
Oklahoma,1
Oregon,14
Pennsylvania,10
Rhode Island,3
South Carolina,6
South Dakota,0
Tennessee,4
Texas,13
Utah,1
Vermont,1
Virginia,5
Washington,162
West Virginia,0
Wisconsin,2
Wyoming,0
